"Candidat-e","Civ.","Nom","Prénom","Mandat","Département ou collectivité","Commune ou circonscription","Publication"
"ALLIOT-MARIE Michèle","Mme","LARSONNEUR-MOREL","Dominique","Conseiller/ère départemental-e","Manche","","01/03/2017"
"ALLIOT-MARIE Michèle","M","PELON","David","Maire","Loire-Atlantique","Trignac","01/03/2017"
"ALLIOT-MARIE Michèle","M","MEIRE","Étienne","Maire","Meurthe-et-Moselle","Raon-lès-Leau","01/03/2017"
"ALLIOT-MARIE Michèle","M","BARIOD","Maurice","Maire","Jura","Saint-Maurice-Crillat","01/03/2017"
"ARTHAUD Nathalie","M","CANESSE","Pierre","Maire","Nord","Salomé","01/03/2017"
"ARTHAUD Nathalie","Mme","CREIGNOU","Solange","Maire","Finistère","Saint-Thegonnec Loc-Eguiner","01/03/2017"
"ARTHAUD Nathalie","M","BOUTELEUX","Pascal","Maire","Oise","Monceaux-l'Abbaye","01/03/2017"
"ARTHAUD Nathalie","M","AUBERT","Alain","Maire","Côte-d'Or","Vix","01/03/2017"
"ARTHAUD Nathalie","M","WELELE","Patrice","Maire","Pas-de-Calais","Morval","01/03/2017"
"ARTHAUD Nathalie","M","FRANCOIS","Bernard","Maire","Haute-Saône","Magnoncourt","01/03/2017"
"ARTHAUD Nathalie","M","MAYOUD","Pierre","Maire","Doubs","L'Ecouvotte","01/03/2017"
"ARTHAUD Nathalie","M","POYDESSUS","Philippe","Maire","Pyrénées-Atlantiques","Bussunarits-Sarrasquette","01/03/2017"
"ARTHAUD Nathalie","M","BRUNEL","Vincent","Maire délégué-e","Alpes-de-Haute-Provence","Bayons","01/03/2017"
"ARTHAUD Nathalie","M","BLAISE","Gabriel","Maire","Côte-d'Or","Chanceaux","01/03/2017"
"ARTHAUD Nathalie","M","PAGE","Christian","Maire","Essonne","Saclay","01/03/2017"
"ARTHAUD Nathalie","M","DELOCHE","Joël","Maire","Indre","Rosnay","01/03/2017"
"ARTHAUD Nathalie","M","LANGLET","Jean-François","Maire","Somme","Vaux-Marquenneville","01/03/2017"
"ARTHAUD Nathalie","Mme","PERRIER","Corinne","Maire","Haute-Marne","Nomécourt","01/03/2017"
"ARTHAUD Nathalie","M","POIREL","Bernard","Maire","Marne","Ognes","01/03/2017"
"ARTHAUD Nathalie","Mme","CHARROIS","Monique","Maire","Ardennes","Sorcy-Bauthémont","01/03/2017"
"ARTHAUD Nathalie","M","PIERRARD","Alexandre","Maire","Gironde","Prignac-en-Médoc","01/03/2017"
"ARTHAUD Nathalie","M","THEVENOT","Jean-claude","Maire","Ain","Bâgé-le-Châtel","01/03/2017"
"ARTHAUD Nathalie","Mme","SAINTOUT","Michelle","Maire","Gironde","Saint-Estèphe","01/03/2017"
"ARTHAUD Nathalie","M","SAVARIT","Noël","Maire","Vosges","Longchamp-sous-Châtenois","01/03/2017"
"ARTHAUD Nathalie","M","GALINON","Eric","Maire","Corrèze","Le Pescher","01/03/2017"
"ARTHAUD Nathalie","M","BARDOT","Georges","Maire","Haute-Saône","Corbenay","01/03/2017"
"ARTHAUD Nathalie","M","GAINCHE","Jean-Paul","Maire","Côtes-d'Armor","Langrolay-sur-Rance","01/03/2017"
"ARTHAUD Nathalie","M","BIANCHIN","René","Maire","Meurthe-et-Moselle","Pagny-sur-Moselle","01/03/2017"
"ARTHAUD Nathalie","M","GAGNEUR","Raphaël","Maire","Jura","Molain","01/03/2017"
"ARTHAUD Nathalie","M","ROHMER","Pascal","Maire","Moselle","Vasperviller","01/03/2017"
"ARTHAUD Nathalie","M","PERANTONI","Jacques","Maire","Meurthe-et-Moselle","Euvezin","01/03/2017"
"ARTHAUD Nathalie","M","PRAT","Marcel","Maire","Côtes-d'Armor","Ploumilliau","01/03/2017"
"ARTHAUD Nathalie","M","DEFER","Gilbert","Maire","Vosges","La Neuveville-sous-Châtenois","01/03/2017"
"ARTHAUD Nathalie","Mme","PODEVIN","Nadine","Maire","Aisne","Guivry","01/03/2017"
